Date,rank,title,search,summary,source,link
8/11/2018,7,Nevada election,200K+,Dead Pimp Dennis Hof Cruises to Victory in Nevada State Election,New York Times | 5d ago,https://www.nytimes.com/2018/11/07/us/politics/dennis-hof-dead-pimp-nevada.html
8/11/2018,9,Juventus,200K+,Manchester United vs. Juventus score: Mourinho's squad overcomes Ronaldo's ...,CBSSports.com | 5d ago,https://www.cbssports.com/soccer/news/manchester-united-vs-juventus-score-mourinhos-squad-overcomes-ronaldos-opener-to-stun-champions-league-favorites/
8/11/2018,11,Utah Election results,100K+,"Election results on residential projects in Holladay, Orem have advocates ...",Salt Lake Tribune | 5d ago,https://www.sltrib.com/news/2018/11/07/election-results
8/11/2018,12,Lucy McBath,100K+,Lucy McBath Wins Georgia Congressional Race Against Karen Handel,New York Times | 4d ago,https://www.nytimes.com/2018/11/08/us/politics/lucy-mcbath-georgia.html
8/11/2018,13,Mia Love,100K+,"Ben McAdams widens lead a bit over Mia Love as Governor, Lt. Gov. rip Utah ...",Salt Lake Tribune | 4d ago,https://www.sltrib.com/news/politics/2018/11/08/governor-lt-gov-rip-utah/
8/11/2018,14,Rashida Tlaib,100K+,"Meet Rashida Tlaib and Ilhan Omar, the first Muslim women elected to Congress",CNBC | 5d ago,https://www.cnbc.com/2018/11/07/rashida-tlaib-ilhan-omar-are-the-1st-muslim-women-elected-to-congress.html
8/11/2018,15,Timberwolves vs Lakers,100K+,"LeBron James, Lakers win another nail-biter, hold off Derrick Rose, Timberwolves",USA TODAY | 5d ago,https://www.usatoday.com/story/sports/columnist/martin-rogers/2018/11/08/lebron-james-lakers-timberwolves-jimmy-butler/1927551002/
8/11/2018,16,Trump press conference,100K+,Fact-checking Trump's combative press conference,CNN | 4d ago,https://www.cnn.com/2018/11/08/politics/fact-check-trump-press-conference/index.html
8/11/2018,17,Billie Eilish,100K+,"Billie Eilish Is 16, and She's Ready to Rule the Youth",The Ringer (blog) | 5d ago,https://www.theringer.com/music/2018/11/7/18071598/billie-eilish-when-the-partys-over-review
8/11/2018,18,Maine election 2018,100K+,Sen. Collins reacts to Maine's 2018 election results,NewsCenterMaine.com WCSH-WLBZ | 5d ago,https://www.newscentermaine.com/mobile/article/news/politics/voice-of-the-voter/sen-collins-reacts-to-maines-2018-election-results/97-612288783
8/11/2018,19,Breaking Bad Movie,100K+,Bryan Cranston confirms 'Breaking Bad' movie happening,CNN | 4d ago,https://www.cnn.com/2018/11/08/entertainment/bryan-cranston-breaking-bad-movie/index.html
8/11/2018,20,Bryce Harper,100K+,Nationals' offer to Bryce Harper was biggest free agent deal in US sports ...,Washington Post | 5d ago,https://www.washingtonpost.com/sports/2018/11/07/nationals-offer-bryce-harper-was-biggest-free-agent-deal-us-sports-history-what-now/
7/11/2018,1,Stacey Abrams,5M+,Abrams campaign: We don't accept Kemp declaring himself the winner in Georgia ...,CNN | 5d ago,https://www.cnn.com/2018/11/07/politics/stacey-abrams-brian-kemp-georgia-governors-race/index.html
7/11/2018,2,Beto O'Rourke,5M+,Trending: Beto O'Rourke could've used that Beyonce endorsement a bit earlier.,Washington Post | 5d ago,https://www.washingtonpost.com/express/2018/11/08/trending-beto-orourke-couldve-used-that-beyonce-endorsement-bit-earlier/
7/11/2018,3,midterm elections,5M+,How results of midterm elections will impact your money and 401(k),USA TODAY | 5d ago,https://www.usatoday.com/story/money/2018/11/08/midterm-election-stock-market-impact/1920273002/
7/11/2018,4,Andrew Gillum,2M+,This is why Andrew Gillum lost the Florida governor race to Ron DeSantis,USA TODAY | 5d ago,https://www.usatoday.com/story/news/politics/elections/2018/11/07/florida-governor-face-why-andrew-gillum-lost-ron-desantis/1925307002/
7/11/2018,5,US Senate election Results,2M+,Republicans Hold the Senate: All the Key Results,New York Magazine | 6d ago,http://nymag.com/intelligencer/2018/11/2018-us-senate-midterm-election-results.html
7/11/2018,6,Jeff Sessions,2M+,What Sessions' firing means for the Mueller investigation,CNN | 4d ago,https://www.cnn.com/2018/11/08/politics/what-does-sessions-firing-mean-for-mueller/index.html
7/11/2018,7,Voting results,2M+,Election results in Florida and Georgia prompt soul-searching for African ...,Washington Post | 5d ago,https://www.washingtonpost.com/politics/election-results-in-florida-and-georgia-prompt-soul-searching-for-african-americans/2018/11/07/c27e7c40-5ae5-11e8-858f-12becb4d6067_story.html
7/11/2018,8,CNN,2M+,White House pulls CNN reporter Jim Acosta's pass after contentious news conference,CNN | 5d ago,https://www.cnn.com/2018/11/07/media/trump-cnn-press-conference/index.html
7/11/2018,9,Scott Walker,2M+,How the Democrats finally defeated Wisconsin Gov. Scott Walker,Washington Post | 5d ago,https://www.washingtonpost.com/politics/how-the-democrats-finally-defeated-wisconsin-gov-scott-walker/2018/11/07/3377ed17-9cbe-4537-8b2a-acd0c37a8d35_story.html
7/11/2018,10,Arizona Senate race,2M+,Democrat Kyrsten Sinema pulls ahead in Arizona Senate race,Vox | 4d ago,https://www.vox.com/2018/11/8/18075478/midterm-elections-arizona-vote-count-mcsally-sinema
7/11/2018,11,California election results,2M+,"Election results 2018: Proposition 6 gas tax repeal crashes, burns [Updated]",Curbed SF | 5d ago,https://sf.curbed.com/2018/11/7/18071282/election-night-2018-california-prop-6-gas-tax-repeal-rejected
7/11/2018,12,Republican Party,1M+,The Republican Party Goes All-in on Trumpism,The Atlantic | 5d ago,https://www.theatlantic.com/politics/archive/2018/11/republicans-will-double-down-trumpism-after-2018/575155/
7/11/2018,13,Democratic Party,1M+,Congressional candidates sharply criticize AL Democratic Party,WSFA | 5d ago,http://www.wsfa.com/2018/11/08/congressional-candidates-sharply-criticize-al-democratic-party/
7/11/2018,14,Florida Senate race,1M+,Bill Nelson presses ahead with recount in Florida Senate race,Tallahassee.com | 5d ago,https://www.tallahassee.com/story/news/2018/11/07/election-results-rick-scott-recount/1927003002/
7/11/2018,17,Alexandria Ocasio-Cortez,500K+,Alexandria Ocasio-Cortez Will Push Washington. Will Washington Push Back?,New York Times | 5d ago,https://www.nytimes.com/2018/11/07/nyregion/ocasio-cortez-congress-washington.html
7/11/2018,18,JB Pritzker,500K+,Illinois Governor-elect JB Pritzker talks about priorities in one-on-one interview,WLS-TV | 5d ago,https://abc7chicago.com/politics/jb-pritzker-talks-about-his-priorities-after-elected-as-illinois-next-governor/4637776/
7/11/2018,19,Montana Senate race,500K+,Jon Tester projected to defeat Matt Rosendale in Montana Senate race,Fox News | 5d ago,https://www.foxnews.com/politics/jon-tester-projected-to-defeat-matt-rosendale-in-montana-senate-race
7/11/2018,20,Where Do I vote,500K+,Where Is My Polling Place? Answers to Common Election Day Questions,New York Times | 6d ago,https://www.nytimes.com/2018/11/06/us/politics/voting-questions.html
6/11/2018,1,Election results,10M+,"Election results: Red states get redder, blue districts bluer, the partisan ...",USA TODAY | 5d ago,https://www.usatoday.com/story/news/politics/elections/2018/11/07/election-results-trump-partisanship-republicans-democrats-divide/1918468002/
6/11/2018,2,where Do I vote #Electionday,10M+,"How Google, Apple, Facebook and other tech companies are getting out the vote ...",CNBC | 6d ago,https://www.cnbc.com/2018/11/06/google-facebook-and-twitter-election-day-get-out-the-vote-efforts.html
6/11/2018,3,Where to Vote,2M+,"Voter Guide: How, When and Where to Vote on Tuesday",New York Times | 1w ago,https://www.nytimes.com/2018/11/05/us/politics/midterm-elections-voting-guide.html
6/11/2018,4,Fox News,2M+,Fox News Has Highest-Rated Midterm Coverage In Cable News History,Forbes | 5d ago,https://www.forbes.com/sites/markjoyella/2018/11/07/fox-news-has-highest-rated-midterm-coverage-in-cable-news-history/
