rank,title,search,summary,source,link
1,Jimmy Butler,1M+,Jimmy Butler trade update: 76ers to acquire Wolves star in multiplayer deal ...,CBSSports.com | 13h ago,https://www.cbssports.com/nba/news/jimmy-butler-trade-update-76ers-to-acquire-wolves-star-in-multiplayer-deal-including-saric-and-covington-per-report/
2,Oklahoma football,100K+,"Oklahoma vs. Oklahoma State score: Live game updates, football highlights ...",CBSSports.com | 11h ago,https://www.cbssports.com/college-football/news/oklahoma-vs-oklahoma-state-score-live-game-updates-football-highlights-stats-full-coverage/
3,Teddy Geiger,100K+,Teddy Geiger and 'Schitt's Creek' star Emily Hampshire are engaged,USA TODAY | 12h ago,https://www.usatoday.com/story/life/people/2018/11/10/teddy-geiger-musician-and-schitts-creek-emily-hampshire-engaged/1957094002/
4,Ohio State vs Mi State,100K+,Ohio State vs. Michigan State score: No. 10 Buckeyes grind out victory over No ...,CBSSports.com | 14h ago,https://www.cbssports.com/college-football/news/ohio-state-vs-michigan-state-score-no-10-buckeyes-grind-out-victory-over-no-18-spartans/
5,Boston College football,50K+,"Clemson vs. Boston College: Prediction, pick, spread, odds, TV channel, live ...",CBSSports.com | 8h ago,https://www.cbssports.com/college-football/news/clemson-vs-boston-college-prediction-pick-spread-odds-tv-channel-live-stream-watch-online/
6,Lakers vs Kings,50K+,Kings vs. Lakers Preview: This One Matters,Sactown Royalty | 13h ago,https://www.sactownroyalty.com/2018/11/10/18082138/kings-vs-lakers-preview-this-one-matters
7,LeAnn Rimes,50K+,LeAnn Rimes's Relationship With Husband Eddie Cibrian Sounds Like a Hallmark Movie,countryliving.com | 18h ago,https://www.countryliving.com/life/entertainment/a24890352/leann-rimes-husband-eddie-cibrian-love-story/
8,Michigan vs Rutgers,50K+,"Rutgers vs. Michigan RECAP, SCORE & STATS | College Football Week 11",NJ.com | 11h ago,https://www.nj.com/rutgersfootball/index.ssf/2018/11/rutgers_vs_michigan_live_score_updates_stats_11101.html
9,Alabama vs Mississippi State,50K+,"Alabama vs. Mississippi State score, takeaways: No. 1 Tide notch second ...",CBSSports.com | 10h ago,https://www.cbssports.com/college-football/news/alabama-vs-mississippi-state-score-takeaways-no-1-tide-notch-second-straight-sec-west-shutout/
10,Pitt football,50K+,Pitt smashes Virginia Tech 52-22 to near ACC Coastal title,Washington Post | 5h ago,https://www.washingtonpost.com/sports/colleges/pitt-smashes-virginia-tech-52-22-to-near-acc-coastal-title/2018/11/10/7f3ca28a-e551-11e8-ba30-a7ded04d8fac_story.html
11,Nets vs Warriors,50K+,"Nets vs. Warriors: LeVert, Russell, Allen Send Brooklyn Flying Into California ...",Brooklynnets.com | 13h ago,https://www.nba.com/nets/news/preview/2018/11/10/nets-vs-warriors-levert-russell-allen-send-brooklyn-flying-into-california-off-big-win
12,Boca vs River,50K+,"Boca vs River: TV channel, live stream, squad news & Copa Libertadores final ...",Goal.com | 20h ago,https://www.goal.com/en-us/news/boca-juniors-vs-river-plate-tv-channel-live-stream-squad/1uu0ecag36z0p1iksc6tqegaif
13,Lil Wayne,50K+,"Lil Wayne Drops 'Tha Carter V' Bonus Tracks Featuring Post Malone, Gucci Mane",Billboard | 6h ago,https://www.billboard.com/articles/columns/hip-hop/8484298/lil-wayne-post-malone-what-about-me-gucci-mane-in-this-house-hasta-la-vista
14,Samsclub,50K+,Sam's Club Super November Sale Brings Black Friday Deals Now On Tons Of High ...,Hot Hardware | 14h ago,https://hothardware.com/news/sams-club-super-november-sale-brings-black-friday-deals-now-on-tons-of-high-tech-gear
15,Auburn vs Georgia,50K+,"Georgia vs. Auburn: Prediction, pick, line, odds, TV channel, live stream ...",CBSSports.com | 8h ago,https://www.cbssports.com/college-football/news/georgia-vs-auburn-prediction-pick-line-odds-tv-channel-live-stream-watch-online/
16,Wisconsin vs Penn State,20K+,"How to Watch Wisconsin vs. Penn State: Live Stream, TV Channel, Game Time",Sports Illustrated | 16h ago,https://www.si.com/college-football/2018/11/10/wisconsin-penn-state-live-stream-watch-online-tv-channel-game-time
17,UFC Fight Night,20K+,UFC Fight Night 139 predictions -- Korean Zombie vs. Yair Rodriguez: Fight ...,CBSSports.com | 5h ago,https://www.cbssports.com/mma/news/ufc-fight-night-139-predictions-korean-zombie-vs-yair-rodriguez-fight-card-odds-for-denver-event/
18,Creed,20K+,'Assassin's Creed Odyssey' Vs. 'Red Dead Redemption 2': A Graphics Comparison,Forbes | 11h ago,https://www.forbes.com/sites/kevinmurnane/2018/11/10/assassins-creed-odyssey-vs-red-dead-redemption-2-a-graphics-comparison/
19,Matt Barkley,20K+,Matt Barkley to become second QB to start a game within two weeks of signing ...,CBSSports.com | 8h ago,https://www.cbssports.com/nfl/news/matt-barkley-to-become-second-qb-to-start-a-game-within-two-weeks-of-signing-with-bills-in-2018/
20,Bachelor Mansion,20K+,'The Bachelor' mansion survives California wildfire 'unscathed',USA TODAY | 10h ago,https://www.usatoday.com/story/life/2018/11/10/bachelor-house-survives-california-wildfire-unscathed/1957860002/
1,Amanda Crowe artist,2M+,Who was Amanda Crowe? Google honors legendary Cherokee artist,Atlanta Journal Constitution | 1d ago,https://www.ajc.com/news/national/who-was-amanda-crowe-google-honors-legendary-cherokee-artist/92GgxN1Ld9FhShS1LUHzEK/
2,Malibu Fire,1M+,Malibu Fire Victims Share Their Stories,LAist | 8h ago,http://www.laist.com/2018/11/10/malibu_fire_victims_share_their_stories.php
3,Dez Bryant,1M+,"Report: MRI confirms former Cowboys WR Dez Bryant tore his Achilles, faces ...",Dallas News | 1d ago,https://sportsday.dallasnews.com/dallas-cowboys/cowboys/2018/11/10/report-dez-bryant-helped-field-saints-practice-team-fears-torn-achilles
4,Outlaw King,500K+,Outlaw King Is a Lot Better Than You've Heard,Vulture | 1d ago,https://www.vulture.com/2018/11/outlaw-king-is-a-lot-better-than-youve-heard.html
5,Brenda Snipes,200K+,Whoops! Brenda Snipes' office mixed bad provisional ballots with good ones,Miami Herald | 1d ago,https://www.miamiherald.com/news/local/community/broward/article221452655.html
6,air quality,200K+,Bad air quality from Camp Fire's smoke forces events in Sacramento to scrap plans,Sacramento Bee | 4h ago,https://www.sacbee.com/news/state/california/fires/article221486655.html
7,Sinema,200K+,Sinema expands lead in Arizona Senate race,Politico | 1d ago,https://www.politico.com/story/2018/11/09/sinema-mcsally-arizona-senate-race-982562
8,April Ryan,100K+,April Ryan responds to Trump calling her a 'loser': 'We are not weak',The Hill | 1d ago,https://thehill.com/homenews/media/416041-april-ryan-hits-back-at-trump-for-calling-her-a-loser
9,Marine Corps Birthday,100K+,"Marine Corps Birthday: Message, Facts, Quotes About the Military Branch",Newsweek | 21h ago,https://www.newsweek.com/marine-corps-birthday-message-facts-quotes-about-military-branch-1205910
10,Caitlyn Jenner,100K+,Caitlyn Jenner doesn't know fate of her home after wildfire evacuation,Page Six | 15h ago,https://pagesix.com/2018/11/10/caitlyn-jenner-doesnt-know-fate-of-her-home-after-wildfire-evacuation/
11,Veterans Day 2018 freebies,100K+,"Veterans Day 2018: All the sales, savings, and freebies vets can get",USA TODAY | 6h ago,https://www.usatoday.com/story/tech/reviewedcom/2018/11/10/veterans-day-2018-all-sales-savings-and-freebies-vets-can-get/38466107/
12,Boise State football,100K+,Boise State football shows Friday night fight in comeback win over No. 16 ...,Idaho Statesman | 21h ago,https://www.idahostatesman.com/sports/college/mountain-west/boise-state-university/boise-state-football/article221451075.html
13,Kyrie Irving,100K+,Nuggets fan returns ball to Jamal Murray that Kyrie Irving threw into stands,USA TODAY | 1d ago,https://www.usatoday.com/story/sports/nba/nuggets/2018/11/09/nuggets-fan-returns-ball-jamal-murray-kyrie-irving/1953207002/
14,Syracuse football,100K+,Syracuse football DB Antwan Cordy to decide on 6th year after season,Syracuse.com | 14h ago,https://www.syracuse.com/orangefootball/index.ssf/2018/11/antwan_cordy_syracuse_football_defensive_back_sixth_year_senior_night.html
15,Michelle Obama,100K+,Michelle Obama opens up about secret fertility struggles,OregonLive.com | 13h ago,https://www.oregonlive.com/health/index.ssf/2018/11/michelle_obama_opens_up_about.html
16,Backstreet Boys,50K+,Los Backstreet Boys anuncian nuevo disco y nueva gira con esta ...,CNN | 14h ago,https://cnnespanol.cnn.com/2018/11/10/backstreet-boys-nuevo-disco-gira-cancion/
17,Griffith Park fire,50K+,Brush fire in Griffith Park forces LA Zoo to evacuates some animals,USA TODAY | 1d ago,https://www.usatoday.com/story/news/nation-now/2018/11/09/griffith-park-fire-la-zoo-animal-evacuations-california/1944224002/
18,Winnie Harlow,50K+,Winnie Harlow Just Became the First Model With Vitiligo to Walk in the VS ...,Health.com | 1d ago,https://www.health.com/condition/skin-conditions/winnie-harlow-vitiligo-vs-fashion-show
19,Joe Mauer,50K+,Joe Mauer will officially retire from baseball,Minneapolis Star Tribune | 1d ago,http://www.startribune.com/joe-mauer-will-officially-retire-from-baseball/500170911/
