rank,title,search,summary,source,link
9,Juventus,200K+,Manchester United vs. Juventus score: Mourinho's squad overcomes Ronaldo's ...,CBSSports.com | 3d ago,https://www.cbssports.com/soccer/news/manchester-united-vs-juventus-score-mourinhos-squad-overcomes-ronaldos-opener-to-stun-champions-league-favorites/
10,Dan Crenshaw,100K+,"Meet Dan Crenshaw, a former Navy SEAL and onetime Trump critic being called a ...",USA TODAY | 3d ago,https://www.usatoday.com/story/news/politics/elections/2018/11/07/dan-crenshaw-texas-congressional-district-trump/1922069002/
11,Utah Election results,100K+,"Election results on residential projects in Holladay, Orem have advocates ...",Salt Lake Tribune | 3d ago,https://www.sltrib.com/news/2018/11/07/election-results
12,Lucy McBath,100K+,Lucy McBath Wins Georgia Congressional Race Against Karen Handel,New York Times | 2d ago,https://www.nytimes.com/2018/11/08/us/politics/lucy-mcbath-georgia.html
13,Mia Love,100K+,"Ben McAdams widens lead a bit over Mia Love as Governor, Lt. Gov. rip Utah ...",Salt Lake Tribune | 2d ago,https://www.sltrib.com/news/politics/2018/11/08/governor-lt-gov-rip-utah/
14,Rashida Tlaib,100K+,"Meet Rashida Tlaib and Ilhan Omar, the first Muslim women elected to Congress",CNBC | 3d ago,https://www.cnbc.com/2018/11/07/rashida-tlaib-ilhan-omar-are-the-1st-muslim-women-elected-to-congress.html
15,Timberwolves vs Lakers,100K+,"LeBron James, Lakers win another nail-biter, hold off Derrick Rose, Timberwolves",USA TODAY | 3d ago,https://www.usatoday.com/story/sports/columnist/martin-rogers/2018/11/08/lebron-james-lakers-timberwolves-jimmy-butler/1927551002/
16,Trump press conference,100K+,Fact-checking Trump's combative press conference,CNN | 2d ago,https://www.cnn.com/2018/11/08/politics/fact-check-trump-press-conference/index.html
17,Billie Eilish,100K+,"Billie Eilish Is 16, and She's Ready to Rule the Youth",The Ringer (blog) | 3d ago,https://www.theringer.com/music/2018/11/7/18071598/billie-eilish-when-the-partys-over-review
18,Maine election 2018,100K+,Sen. Collins reacts to Maine's 2018 election results,NewsCenterMaine.com WCSH-WLBZ | 3d ago,https://www.newscentermaine.com/mobile/article/news/politics/voice-of-the-voter/sen-collins-reacts-to-maines-2018-election-results/97-612288783
